,entity_lang,entity_txt,entity_ids,sitelinks
266,ar,1993,['Q2065'],[207]
267,ar,1996,['Q2070'],[209]
268,ar,1999,['Q2091'],[212]
269,ar,2 أيلول,['Q2857'],[210]
270,ar,2 جانفي,['Q2151'],[228]
271,ar,2 سبتمبر,['Q2857'],[210]
272,ar,2 كانون الثاني,['Q2151'],[228]
273,ar,2 كانون ثاني,['Q2151'],[228]
274,ar,2 يناير,['Q2151'],[228]
275,ar,20 تشرين الثاني,['Q3024'],[212]
276,ar,20 نوفمبر,['Q3024'],[212]
277,ar,200 ق م,['Q43306'],[82]
278,ar,2002,['Q1987'],[214]
279,ar,2005,['Q2019'],[239]
280,ar,2009,['Q1996'],[250]
281,ar,2025,['Q49616'],[101]
282,ar,2044,['Q49919'],[52]
283,ar,2047,['Q49922'],[52]
284,ar,2050,['Q49925'],[57]
285,ar,2051,['Q49926'],[49]
286,ar,214,['Q32938'],[120]
287,ar,216 ق م,['Q47347'],[80]
288,ar,216 ق.م,['Q47347'],[80]
289,ar,218 ق م,['Q47177'],[81]
290,ar,218 ق.م,['Q47177'],[81]
291,ar,22 تشرين الثاني,['Q3025'],[212]
292,ar,22 ديسمبر,['Q2636'],[207]
293,ar,22 سبتمبر,['Q2889'],[207]
294,ar,22 مارس,['Q2435'],[213]
295,ar,22 نوفمبر,['Q3025'],[212]
296,ar,23 آب,['Q2821'],[203]
297,ar,23 أغسطس,['Q2821'],[203]
298,ar,23 أوت,['Q2821'],[203]
299,ar,23 اغسطس,['Q2821'],[203]
300,ar,23 جانفي,['Q2276'],[221]
301,ar,23 كانون الثاني,['Q2276'],[221]
302,ar,23 يناير,['Q2276'],[221]
303,ar,23 يونيو,['Q2668'],[207]
304,ar,231 ق م,['Q45437'],[78]
305,ar,234 (ق م.),['Q25361'],[84]
306,ar,234 (ق. م),['Q25361'],[84]
307,ar,234 (ق. م.),['Q25361'],[84]
308,ar,234 (ق.م),['Q25361'],[84]
309,ar,234 (ق.م.),['Q25361'],[84]
310,ar,234 (قبل الميلاد),['Q25361'],[84]
311,ar,234 ق م,['Q25361'],[84]
312,ar,234 ق م.,['Q25361'],[84]
313,ar,234 ق. م,['Q25361'],[84]
314,ar,234 ق. م.,['Q25361'],[84]
315,ar,234 ق.م,['Q25361'],[84]
316,ar,234 ق.م.,['Q25361'],[84]
317,ar,234 قبل الميلاد,['Q25361'],[84]
318,ar,244 (ق م.),['Q35589'],[78]
319,ar,244 (ق. م),['Q35589'],[78]
320,ar,244 (ق. م.),['Q35589'],[78]
321,ar,244 (ق.م),['Q35589'],[78]
322,ar,244 (ق.م.),['Q35589'],[78]
323,ar,244 (قبل الميلاد),['Q35589'],[78]
324,ar,244 ق م,['Q35589'],[78]
325,ar,244 ق م.,['Q35589'],[78]
326,ar,244 ق. م,['Q35589'],[78]
327,ar,244 ق. م.,['Q35589'],[78]
328,ar,244 ق.م,['Q35589'],[78]
329,ar,244 ق.م.,['Q35589'],[78]
330,ar,244 قبل الميلاد,['Q35589'],[78]
331,ar,25 يونيو,['Q2662'],[208]
332,ar,252 ق م,['Q35547'],[77]
333,ar,253 ق م,['Q35522'],[76]
334,ar,255,['Q32344'],[118]
335,ar,255 (ق م.),['Q35605'],[76]
336,ar,255 (ق. م),['Q35605'],[76]
337,ar,255 (ق. م.),['Q35605'],[76]
338,ar,255 (ق.م),['Q35605'],[76]
339,ar,255 (ق.م.),['Q35605'],[76]
340,ar,255 (قبل الميلاد),['Q35605'],[76]
341,ar,255 ق م,['Q35605'],[76]
342,ar,255 ق م.,['Q35605'],[76]
343,ar,255 ق. م,['Q35605'],[76]
344,ar,255 ق. م.,['Q35605'],[76]
345,ar,255 ق.م,['Q35605'],[76]
346,ar,255 ق.م.,['Q35605'],[76]
347,ar,255 قبل الميلاد,['Q35605'],[76]
348,ar,26 ق م,['Q41145'],[90]
349,ar,260,['Q30311'],[121]
350,ar,27 أيلول,['Q2884'],[205]
351,ar,27 ديسمبر,['Q2800'],[206]
352,ar,27 سبتمبر,['Q2884'],[205]
353,ar,27 كانون الأول,['Q2800'],[206]
354,ar,275 (ق م.),['Q46137'],[78]
355,ar,275 (ق. م),['Q46137'],[78]
356,ar,275 (ق. م.),['Q46137'],[78]
357,ar,275 (ق.م),['Q46137'],[78]
358,ar,275 (ق.م.),['Q46137'],[78]
359,ar,275 (قبل الميلاد),['Q46137'],[78]
360,ar,275 ق م,['Q46137'],[78]
361,ar,275 ق م.,['Q46137'],[78]
362,ar,275 ق. م,['Q46137'],[78]
363,ar,275 ق. م.,['Q46137'],[78]
